## Initial set of words come from Mathematica with usage frequency.
## These have been augmented with Linux dictionary words: /usr/share/dict/words.
## The additional words have been filtered removing: words that end in "s";
## words with accents; and words with a capital letter.
## These additional words have been assigned the frequency of 1.0e-9 (lower than any of the Mathematica word frequencies).
word,freq
which,0.003151273982861528
their,0.001799120518762562
other,0.001395587084867301
there,0.0011413899093591575
these,0.0009999972230429499
about,0.0009888351548801072
under,0.0007866936493573612
first,0.0007837939249180336
after,0.0006412205221464199
those,0.0006364720921881444
being,0.0006357289281585908
years,0.0006273343765668849
where,0.0006215428567469508
three,0.00046022551204110324
found,0.00042338095663875747
great,0.00041366811319845426
state,0.0004070452057705562
right,0.00040390299649985587
water,0.0004002789899930443
order,0.0003910046672714699
given,0.000382781261069162
place,0.0003636546060187878
might,0.00036177459035564353
while,0.00035938801546178765
large,0.0003442441412643979
every,0.00033795480646564644
power,0.0003336101626682167
small,0.0003324851122609194
still,0.00032820545351483705
world,0.0003134033811811262
think,0.00030832960331054023
point,0.0003076297564576346
never,0.0002884258849445523
above,0.0002800516664993145
since,0.0002768756934734387
means,0.0002751436895835735
value,0.0002721466790673454
taken,0.00027178399038843597
until,0.00025926312521522255
again,0.0002563947892268247
court,0.00024704386545315187
study,0.00024019544366851
whole,0.00023817564446268653
among,0.00023814544065208241
often,0.00023671656664482962
known,0.00022956069254628602
group,0.00022401686348511393
least,0.00021564402591348338
based,0.00021551347837020708
level,0.0002132723473697544
total,0.00021254614779123501
going,0.00020790599195084534
local,0.00020592938041437997
light,0.00019701036295029638
early,0.0001957855221565291
later,0.00019571530812286366
house,0.00019537109330747092
times,0.00019348526085954194
words,0.0001922412740694631
human,0.0001892978745515588
money,0.0001881949929812681
using,0.00018703013163150664
field,0.00017945958372437993
terms,0.00017680962714459588
along,0.00017434990171457274
death,0.00017024356739333467
whose,0.00016958045543377683
young,0.00016687123069614846
cause,0.00016441947096838187
class,0.00016218279487702496
short,0.0001620150436452139
child,0.0001570279543402777
third,0.00015399217496349886
party,0.00015320978929984642
force,0.00015237958231647793
basis,0.00015192143973744252
thing,0.00015078207726872123
paper,0.00014814865294703904
quite,0.00014787410301424559
trade,0.00014628043851018822
lower,0.0001454938353261905
white,0.00014511968023246942
night,0.0001422621229651349
sense,0.00014208830209567957
clear,0.0001412893580716808
seems,0.00014052203942667676
major,0.0001405079105829302
price,0.0001403063987458663
below,0.0001382174155411011
hours,0.00013784207128935837
issue,0.00013677630008316268
parts,0.0001348992856761651
model,0.0001348409918347919
close,0.00013271674449776095
range,0.0001280080240847692
heart,0.00012701139521431742
costs,0.00012479955376454044
hands,0.00012466794424010718
rates,0.00012063761814883848
table,0.00011988425567119458
space,0.00011884189717434722
woman,0.00011872186248943334
plant,0.00011738867931037161
needs,0.00011554124627584104
black,0.00011521884540732342
board,0.00011408483189085153
works,0.0001131584110304703
stock,0.00011262677356642727
blood,0.00011144554560742305
heard,0.0001108459178201561
leave,0.00010920570448080013
doing,0.00010688505130729468
alone,0.00010515061639493101
title,0.00010349622803093444
month,0.00010088756469992016
equal,0.00010045529546873967
final,0.0001001215481553417
front,9.988297313900928e-5
bring,9.886332510074101e-5
claim,9.818817749665584e-5
story,9.765817694452023e-5
labor,9.549849480670208e-5
legal,9.49641135951933e-5
funds,9.131582145974272e-5
today,9.116080524955603e-5
trial,9.102939149195622e-5
stage,8.949778206230553e-5
prior,8.521994695957166e-5
voice,8.507180266720534e-5
built,8.443078023398819e-5
share,8.371400908734757e-5
staff,8.324564045207861e-5
sound,8.31749415190257e-5
basic,8.301232945703233e-5
doubt,8.279202209476088e-5
eight,8.132037604619637e-5
scale,8.061347957942153e-5
fully,8.028866224542639e-5
truth,7.979586542310638e-5
apply,7.949551844132642e-5
seven,7.921787388666573e-5
moved,7.840645851144362e-5
earth,7.790162202886635e-5
river,7.673509314725689e-5
north,7.59196449752657e-5
noted,7.54999796143958e-5
stand,7.54197127028495e-5
cross,7.531055412044944e-5
fixed,7.515166624465656e-5
allow,7.48216731367647e-5
peace,7.479738449632826e-5
round,7.409886935985633e-5
occur,7.389406060853061e-5
ready,7.280643981585681e-5
carry,7.231212705549314e-5
heavy,7.204747941070866e-5
forth,7.204566028505629e-5
tried,7.167405367393377e-5
south,7.123340311245035e-5
offer,7.106627947656403e-5
sales,7.076061042823012e-5
upper,7.064327001660579e-5
trust,7.038257535595832e-5
serve,7.008702767339536e-5
music,6.979846313254822e-5
cover,6.958955804735073e-5
chief,6.951408340749409e-5
start,6.903662918328802e-5
speak,6.892252422556277e-5
phase,6.830860831351634e-5
names,6.814997107661199e-5
event,6.618566022284848e-5
error,6.600384453709476e-5
daily,6.476061320620654e-5
floor,6.467387042820291e-5
faith,6.452047757683515e-5
steel,6.355940297513555e-5
speed,6.293231412079776e-5
write,6.235520002134397e-5
union,6.22215188822398e-5
civil,6.135894360984196e-5
drawn,6.099037289053665e-5
agent,6.068299888336827e-5
color,6.036671597937913e-5
metal,6.035012900695716e-5
glass,5.946836707898235e-5
image,5.9443034348767496e-5
reach,5.92654482305488e-5
joint,5.8486790670158004e-5
wrong,5.8253772922064404e-5
green,5.8138251917577176e-5
usual,5.797182099510154e-5
judge,5.7020192896065345e-5
piece,5.688300953850735e-5
mouth,5.6804514065820673e-5
learn,5.678620936492672e-5
worth,5.654814685612495e-5
moral,5.640811785195456e-5
style,5.6062669203544826e-5
spent,5.577405317278478e-5
steps,5.562571612538245e-5
exist,5.561458050632273e-5
enter,5.5525781674601635e-5
ratio,5.549752750087219e-5
begin,5.510332437750697e-5
